,aired_str,genre_Mecha,genre_Sports,genre_Sci-Fi,genre_Adventure,genre_Slice of Life,genre_Action,genre_Drama,genre_School,genre_Romance,genre_Supernatural,genre_Comedy,anime_id,title,title_english,title_japanese,title_synonyms,image_url,type,source,episodes,status,airing,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,background,premiered,broadcast,related,producer,licensor,studio,opening_theme,ending_theme
13006,1999-01-29,True,False,False,True,False,True,False,False,False,False,False,5636,RESTOL: Special Rescue Team,"RESTOL, The Full-Armed Rescue Squad",装甲救助部隊レストル,"Soukou Kyuujo Butai RESTOL, Restol, The Special Rescue Squad, RESTOL SRS",https://cdn.myanimelist.net/images/anime/3/20555.jpg,TV,Unknown,26,Finished Airing,False,"Jan 29, 1999 to Jul 23, 1999","{'from': '1999-01-29', 'to': '1999-07-23'}",25 min. per ep.,G - All Ages,6.53,84,5490.0,9936,401,1,,Winter 1999,Unknown,[],,,,"['""RESTOL!"" by Han Gwan-Hee']","['""FREEDOM"" by Han Gwan-Hee']"
13008,1964-03-08,False,False,True,False,False,True,False,False,False,False,False,9613,Big X,,ビッグX,,https://cdn.myanimelist.net/images/anime/7/82379.jpg,TV,Manga,59,Finished Airing,False,"Mar 8, 1964 to Sep 27, 1965","{'from': '1964-03-08', 'to': '1965-09-27'}",25 min. per ep.,None,6.46,39,9708.0,9965,391,1,,Spring 1964,Unknown,"{'Adaptation': [{'mal_id': 22196, 'type': 'manga', 'url': 'https://myanimelist.net/manga/22196/Big_X', 'title': 'Big X'}], 'Prequel': [{'mal_id': 30839, 'type': 'anime', 'url': 'https://myanimelist.net/anime/30839/Big_X_Episode_0', 'title': 'Big X Episode 0'}]}",Tokyo Movie Shinsha,,,[],[]
13009,2016-04-04,False,False,False,True,False,False,False,False,False,False,True,31670,Kaitou Joker 3rd Season,JOKER 3rd Season,怪盗ジョーカー シーズン,Mysterious Joker Third Season,https://cdn.myanimelist.net/images/anime/10/78229.jpg,TV,Manga,13,Finished Airing,False,"Apr 4, 2016 to Jun 27, 2016","{'from': '2016-04-04', 'to': '2016-06-27'}",24 min. per ep.,PG - Children,7.26,954,2570.0,6232,2676,12,,Spring 2016,Mondays at 19:00 (JST),"{'Adaptation': [{'mal_id': 74267, 'type': 'manga', 'url': 'https://myanimelist.net/manga/74267/Kaitou_Joker', 'title': 'Kaitou Joker'}], 'Prequel': [{'mal_id': 28869, 'type': 'anime', 'url': 'https://myanimelist.net/anime/28869/Kaitou_Joker_2nd_Season', 'title': 'Kaitou Joker 2nd Season'}], 'Sequel': [{'mal_id': 33490, 'type': 'anime', 'url': 'https://myanimelist.net/anime/33490/Kaitou_Joker_4th_Season', 'title': 'Kaitou Joker 4th Season'}]}","Vega Entertainment, Asatsu DK, Kids Station, Half H.P Studio, Tokyo MX",,Shin-Ei Animation,"['""Kaitou Miracle Shounen Boy 2 (怪盗ミラクル少年ボーイ2)"" by Arukara (アルカラ)']","['""Kagayaku Yoru e Youkoso! (輝く夜へようこそ！)"" by Fuki Commune']"
13010,2004-04-02,False,False,False,False,False,True,False,True,False,False,True,174,Tenjou Tenge,Tenjho Tenge,天上天下,"Heaven and Earth, Tenjo Tenge",https://cdn.myanimelist.net/images/anime/10/8380.jpg,TV,Manga,24,Finished Airing,False,"Apr 2, 2004 to Sep 17, 2004","{'from': '2004-04-02', 'to': '2004-09-17'}",23 min. per ep.,R - 17+ (violence & profanity),7.05,64618,3390.0,678,124465,571,,Spring 2004,Unknown,"{'Adaptation': [{'mal_id': 73, 'type': 'manga', 'url': 'https://myanimelist.net/manga/73/Tenjou_Tenge', 'title': 'Tenjou Tenge'}], 'Sequel': [{'mal_id': 448, 'type': 'anime', 'url': 'https://myanimelist.net/anime/448/Tenjou_Tenge__The_Ultimate_Fight', 'title': 'Tenjou Tenge: The Ultimate Fight'}], 'Summary': [{'mal_id': 760, 'type': 'anime', 'url': 'https://myanimelist.net/anime/760/Tenjou_Tenge__The_Past_Chapter', 'title': 'Tenjou Tenge: The Past Chapter'}]}",TV Asahi,"Discotek Media, Geneon Entertainment USA",Madhouse,"['""Bomb A Head"" by m.c.A·T']","['""Aishitene Motto"" by Aiko Kayo']"
13015,1973-10-02,False,False,True,True,False,True,False,False,False,False,False,4810,Shinzou Ningen Casshern,Neo Human Casshan,新造人間キャシャーン,,https://cdn.myanimelist.net/images/anime/7/60395.jpg,TV,Original,35,Finished Airing,False,"Oct 2, 1973 to Jun 25, 1974","{'from': '1973-10-02', 'to': '1974-06-25'}",25 min. per ep.,PG-13 - Teens 13 or older,6.92,839,3856.0,5512,3677,14,,Fall 1973,Unknown,"{'Alternative version': [{'mal_id': 1598, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1598/Casshern__Robot_Hunter', 'title': 'Casshern: Robot Hunter'}, {'mal_id': 4981, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4981/Casshern_Sins', 'title': 'Casshern Sins'}], 'Character': [{'mal_id': 4578, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4578/Time_Bokan_Oudou_Fukko', 'title': 'Time Bokan Oudou Fukko'}]}",,Sentai Filmworks,Tatsunoko Production,"['""Tatakae! Casshan"" by Isao Sasaki']","['""Are wa Shinzo Ningen"" by Isao Sasaki']"
13016,2011-02-06,False,False,False,False,False,True,False,False,False,False,False,9893,Suite Precure♪,,スイート プリキュア♪,Suite Pretty Cure♪,https://cdn.myanimelist.net/images/anime/3/32129.jpg,TV,Original,48,Finished Airing,False,"Feb 6, 2011 to Jan 29, 2012","{'from': '2011-02-06', 'to': '2012-01-29'}",24 min. per ep.,G - All Ages,7.35,3061,2259.0,3856,8962,94,,Winter 2011,Unknown,"{'Adaptation': [{'mal_id': 25710, 'type': 'manga', 'url': 'https://myanimelist.net/manga/25710/Suite_Precure♪', 'title': 'Suite Precure♪'}], 'Alternative setting': [{'mal_id': 603, 'type': 'anime', 'url': 'https://myanimelist.net/anime/603/Futari_wa_Precure', 'title': 'Futari wa Precure'}, {'mal_id': 1534, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1534/Futari_wa_Precure__Splash☆Star', 'title': 'Futari wa Precure: Splash☆Star'}, {'mal_id': 1929, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1929/Futari_wa_Precure__Max_Heart', 'title': 'Futari wa Precure: Max Heart'}, {'mal_id': 1932, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1932/Yes_Precure_5', 'title': 'Yes! Precure 5'}, {'mal_id': 3692, 'type': 'anime', 'url': 'https://myanimelist.net/anime/3692/Yes_Precure_5_GoGo', 'title': 'Yes! Precure 5 GoGo!'}, {'mal_id': 5684, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5684/Fresh_Precure', 'title': 'Fresh Precure!'}, {'mal_id': 7645, 'type': 'anime', 'url': 'https://myanimelist.net/anime/7645/Heartcatch_Precure', 'title': 'Heartcatch Precure!'}, {'mal_id': 12191, 'type': 'anime', 'url': 'https://myanimelist.net/anime/12191/Smile_Precure', 'title': 'Smile Precure!'}, {'mal_id': 16419, 'type': 'anime', 'url': 'https://myanimelist.net/anime/16419/Dokidoki_Precure', 'title': 'Dokidoki! Precure'}, {'mal_id': 21407, 'type': 'anime', 'url': 'https://myanimelist.net/anime/21407/Happiness_Charge_Precure', 'title': 'Happiness Charge Precure!'}, {'mal_id': 28669, 'type': 'anime', 'url': 'https://myanimelist.net/anime/28669/Go_Princess_Precure', 'title': 'Go! Princess Precure'}, {'mal_id': 31884, 'type': 'anime', 'url': 'https://myanimelist.net/anime/31884/Mahoutsukai_Precure', 'title': 'Mahoutsukai Precure!'}, {'mal_id': 34290, 'type': 'anime', 'url': 'https://myanimelist.net/anime/34290/Kirakira☆Precure_A_La_Mode', 'title': 'Kirakira☆Precure A La Mode'}, {'mal_id': 36593, 'type': 'anime', 'url': 'https://myanimelist.net/anime/36593/Hug_tto_Precure', 'title': 'Hug tto! Precure'}], 'Spin-off': [{'mal_id': 9979, 'type': 'anime', 'url': 'https://myanimelist.net/anime/9979/Precure_All_Stars_Movie_DX3__Mirai_ni_Todoke_Sekai_wo_Tsunagu☆Nijiiro_no_Hana', 'title': 'Precure All Stars Movie DX3: Mirai ni Todoke! Sekai wo Tsunagu☆Nijiiro no Hana'}, {'mal_id': 12221, 'type': 'anime', 'url': 'https://myanimelist.net/anime/12221/Precure_All_Stars_Movie_New_Stage__Mirai_no_Tomodachi', 'title': 'Precure All Stars Movie New Stage: Mirai no Tomodachi'}, {'mal_id': 34302, 'type': 'anime', 'url': 'https://myanimelist.net/anime/34302/Precure_Dream_Stars_Movie', 'title': 'Precure Dream Stars! Movie'}, {'mal_id': 34303, 'type': 'anime', 'url': 'https://myanimelist.net/anime/34303/Minna_Atsumare_Precure_Festival_Precure_on_Miracle_Magical_☆_Stage', 'title': 'Minna Atsumare! Precure Festival Precure on Miracle Magical ☆ Stage'}], 'Other': [{'mal_id': 10736, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10736/Precure_kara_Minna_e_no_Ouen_Movie', 'title': 'Precure kara Minna e no Ouen Movie'}], 'Side story': [{'mal_id': 10821, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10821/Suite_Precure♪_Movie__Torimodose_Kokoro_ga_Tsunaku_Kiseki_no_Melody♪', 'title': 'Suite Precure♪ Movie: Torimodose! Kokoro ga Tsunaku Kiseki no Melody♪'}]}",,,Toei Animation,"['#1: ""La♪ La♪ La♪ Suite PreCure♪"" (ラ♪ラ♪ラ♪スイートプリキュア♪) by Mayu Kudou (eps 1-23)', '#2: ""La♪ La♪ La♪ Suite Pretty Cure♪ ~Unlimited ver~"" (ラ♪ラ♪ラ♪スイートプリキュア♪～∞UNLIMITED∞\u3000ver～) by Mayu Kudo (eps 24-48)']","['#1: ""Wonderful↑Powerful↑Music!!"" (ワンダフル↑パワフル↑ミュージック！！) by Aya Ikeda (eps 1-23)', '#2: ""#Kibou Rainbow#"" (#キボウレインボウ#) by Aya Ikeda (eps 24-48)']"
13019,2014-07-12,False,False,True,False,False,True,False,False,False,True,True,21353,Tokyo ESP,Tokyo ESP,東京ESP,,https://cdn.myanimelist.net/images/anime/10/64587.jpg,TV,Manga,12,Finished Airing,False,"Jul 12, 2014 to Sep 27, 2014","{'from': '2014-07-12', 'to': '2014-09-27'}",24 min. per ep.,R - 17+ (violence & profanity),6.63,51400,5081.0,729,118152,160,,Summer 2014,Unknown,"{'Adaptation': [{'mal_id': 18619, 'type': 'manga', 'url': 'https://myanimelist.net/manga/18619/Tokyo_ESP', 'title': 'Tokyo ESP'}, {'mal_id': 91740, 'type': 'manga', 'url': 'https://myanimelist.net/manga/91740/Tokyo_ESP', 'title': 'Tokyo ESP'}], 'Character': [{'mal_id': 4725, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4725/Ga-Rei__Zero', 'title': 'Ga-Rei: Zero'}]}","Lantis, Rakuonsha, KlockWorx, Tokyo MX",Funimation,Xebec,"['""Tokyo Zero Hearts (東京ゼロハーツ)"" by Faylan']","['""Kyuusei Argyros (救世Άργυρóϛ)"" by Yousei Teikoku']"
13027,2016-07-04,False,False,False,False,True,False,False,False,False,False,True,31953,New Game!,New Game!,NEW GAME!,,https://cdn.myanimelist.net/images/anime/9/80417.jpg,TV,4-koma manga,12,Finished Airing,False,"Jul 4, 2016 to Sep 19, 2016","{'from': '2016-07-04', 'to': '2016-09-19'}",24 min. per ep.,PG-13 - Teens 13 or older,7.74,95036,1021.0,382,199097,1736,,Summer 2016,Mondays at 22:30 (JST),"{'Adaptation': [{'mal_id': 62509, 'type': 'manga', 'url': 'https://myanimelist.net/manga/62509/New_Game', 'title': 'New Game!'}], 'Sequel': [{'mal_id': 34277, 'type': 'anime', 'url': 'https://myanimelist.net/anime/34277/New_Game__Watashi_Shain_Ryokou_tte_Hajimete_nano_de', 'title': 'New Game!: Watashi, Shain Ryokou tte Hajimete nano de...'}]}","Frontier Works, Kadokawa Shoten, Movic, AT-X, Delfi Sound, Sony Music Communications, Houbunsha, MAGES., Lawson",Funimation,Doga Kobo,"['""SAKURA Skip (SAKURAスキップ)"" by fourfolium [Aoba Suzukaze (Yuuki Takada), Hifumi Takimoto (Megumi Yamaguchi), Hajime Shinoda (Megumi Toda), Yun Iijima (Ayumi Takeo)]']","['""Now Loading!!!!"" by fourfolium [Aoba Suzukaze (Yuuki Takada), Hifumi Takimoto (Megumi Yamaguchi), Hajime Shinoda (Megumi Toda), Yun Iijima (Ayumi Takeo)]']"
13029,2018-01-09,False,False,False,False,False,False,False,False,False,False,True,36196,Kaijuu Girls: Ultra Kaijuu Gijinka Keikaku 2nd Season,,怪獣娘～ウルトラ怪獣擬人化計画～ 第2期,,https://cdn.myanimelist.net/images/anime/2/89222.jpg,TV,Original,12,Finished Airing,False,"Jan 9, 2018 to Mar 27, 2018","{'from': '2018-01-09', 'to': '2018-03-27'}",5 min. per ep.,PG - Children,6.1,1010,7084.0,6193,2729,3,,Winter 2018,Tuesdays at 21:54 (JST),"{'Prequel': [{'mal_id': 33011, 'type': 'anime', 'url': 'https://myanimelist.net/anime/33011/Kaijuu_Girls__Ultra_Kaijuu_Gijinka_Keikaku', 'title': 'Kaijuu Girls: Ultra Kaijuu Gijinka Keikaku'}], 'Sequel': [{'mal_id': 37586, 'type': 'anime', 'url': 'https://myanimelist.net/anime/37586/Kaijuu_Girls_Kuro__Ultra_Kaijuu_Gijinka_Keikaku', 'title': 'Kaijuu Girls Kuro: Ultra Kaijuu Gijinka Keikaku'}]}","Pony Canyon, Tsuburaya Productions, Docomo Anime Store, Medicrie",,Studio PuYUKAI,[],[]
13031,1992-04-08,False,False,True,False,False,True,False,False,False,False,True,14623,Chikyuu SOS Sore Ike Kororin,Do it Kororin Earth SOS,地球SOSそれいけコロリン,,https://cdn.myanimelist.net/images/anime/5/39807.jpg,TV,Unknown,26,Finished Airing,False,"Apr 8, 1992 to Mar 10, 1993","{'from': '1992-04-08', 'to': '1993-03-10'}",25 min. per ep.,G - All Ages,5.67,12,9865.0,12254,135,1,,Spring 1992,Unknown,[],"NHK, Gakken",,Studio Gallop,[],[]
